ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 334: 120 => 80 (-40) [Opname: 80, Tx: 0]
Product 335: 180 => 80 (-100) [Opname: 80, Tx: 0]
Product 336: 80 => 60 (-20) [Opname: 70, Tx: 1]
Product 340: 21 => 16 (-5) [Opname: 17, Tx: 1]
Product 341: 9 => 1 (-8) [Opname: 2, Tx: 1]
Product 345: 22 => 10 (-12) [Opname: 11, Tx: 1]
Product 350: 7 => 6 (-1) [Opname: 6, Tx: 0]
Product 352: 5 => 3 (-2) [Opname: 3, Tx: 0]
Product 354: 1 => 0 (-1) [Opname: 0, Tx: 0]
Product 355: 13 => 11 (-2) [Opname: 6, Tx: 2]
Product 356: 21 => 24 (+3) [Opname: 12, Tx: 1]
Product 357: 28 => 0 (-28) [Opname: 0, Tx: 0]
Product 358: 16 => 20 (+4) [Opname: 10, Tx: 1]
Product 362: 120 => 140 (+20) [Opname: 140, Tx: 0]
Product 363: 21 => 3 (-18) [Opname: 3, Tx: 0]
Product 365: 170 => 110 (-60) [Opname: 120, Tx: 1]
Product 366: 500 => 310 (-190) [Opname: 310, Tx: 0]
Product 371: 77 => 72 (-5) [Opname: 72, Tx: 0]
Product 374: 160 => 50 (-110) [Opname: 50, Tx: 0]
Product 375: 43 => 34 (-9) [Opname: 34, Tx: 0]
Product 376: 50 => 60 (+10) [Opname: 70, Tx: 1]
Product 377: 8 => 7 (-1) [Opname: 7, Tx: 0]
Product 379: 250 => 50 (-200) [Opname: 60, Tx: 1]
Product 380: 23 => 21 (-2) [Opname: 23, Tx: 1]
Product 381: 0 => 210 (+210) [Opname: 210, Tx: 0]
Product 383: 1 => 0 (-1) [Opname: 0, Tx: 1]
Product 385: 470 => 370 (-100) [Opname: 370, Tx: 0]
Product 386: 3 => 6 (+3) [Opname: 3, Tx: 1]
Product 388: 2590 => 200 (-2390) [Opname: 220, Tx: 2]
Product 389: 14 => 12 (-2) [Opname: 12, Tx: 0]
Product 392: 4 => 3 (-1) [Opname: 3, Tx: 0]
Product 396: 8 => 3 (-5) [Opname: 4, Tx: 1]
Product 397: 19 => 18 (-1) [Opname: 19, Tx: 1]
Product 399: 4 => 1 (-3) [Opname: 2, Tx: 1]
Product 400: 8 => 7 (-1) [Opname: 7, Tx: 0]
Product 402: 580 => 570 (-10) [Opname: 600, Tx: 2]
Product 403: 0 => 30 (+30) [Opname: 30, Tx: 0]
Product 406: 163 => 141 (-22) [Opname: 141, Tx: 0]
Product 407: 13 => 9 (-4) [Opname: 9, Tx: 0]
Product 408: 68 => 64 (-4) [Opname: 64, Tx: 0]
Product 410: 30 => 60 (+30) [Opname: 30, Tx: 1]
Product 412: 15 => 11 (-4) [Opname: 11, Tx: 0]
Product 413: 20 => 16 (-4) [Opname: 20, Tx: 1]
Product 415: 17 => 16 (-1) [Opname: 16, Tx: 0]
Product 421: 2 => 7 (+5) [Opname: 9, Tx: 1]
